ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,The Language Instinct,Steven Pinker,ePUB,$16.99,$16.99,27-02-2003,Penguin Books Ltd,496,https://www.booktopia.com.au/the-language-instinct-steven-pinker/ebook/9780141929682.html
9.78E+12,Ancillary Sword,Ann Leckie,ePUB,$11.99,$11.99,07-10-2014,"Little, Brown Book Group",384,https://www.booktopia.com.au/ancillary-sword-ann-leckie/ebook/9781405525855.html
9.78E+12,Harriet Tubman,Catherine Clinton,ePUB,$21.99,$21.99,02-02-2004,"Little, Brown and Company",300,https://www.booktopia.com.au/harriet-tubman-catherine-clinton/ebook/9780759509771.html
9.78E+12,The Art of Statistics,David Spiegelhalter,ePUB,$15.99,$15.99,28-03-2019,Penguin Books Ltd,256,https://www.booktopia.com.au/the-art-of-statistics-david-spiegelhalter/ebook/9780241258750.html
9.78E+12,Healing Back Pain,John E. Sarno,ePUB,$12.99,$12.99,15-03-2001,Grand Central Publishing,300,https://www.booktopia.com.au/healing-back-pain-john-e-sarno/ebook/9780759520844.html
9.78E+12,A Walk In The Park,Jill Mansell,ePUB,$12.99,$12.99,16-02-2012,Headline,362,https://www.booktopia.com.au/a-walk-in-the-park-jill-mansell/ebook/9780755355976.html
9.78E+12,Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,$32.63,$32.63,01-05-2019,SOUND WISDOM,224,https://www.booktopia.com.au/redeeming-your-bloodline-hrvoje-sirovina/book/9780768448887.html
9.78E+12,The Lollipop Shoes (Chocolat 2),Joanne Harris,ePUB,$15.99,$15.99,06-07-2010,Transworld,592,https://www.booktopia.com.au/the-lollipop-shoes-chocolat-2--joanne-harris/ebook/9781407039657.html
9.78E+12,Liar Liar,M. J. Arlidge,ePUB,$15.99,$15.99,10-09-2015,Penguin Books Ltd,314,https://www.booktopia.com.au/liar-liar-m-j-arlidge/ebook/9781405919227.html
9.78E+12,A Clockwork Orange,Anthony Burgess; Blake Morrison,ePUB,$15.99,$15.99,04-08-2011,Penguin Books Ltd,176,https://www.booktopia.com.au/a-clockwork-orange-anthony-burgess/ebook/9780141908328.html
9.78E+12,10 Minutes 38 Seconds in this Strange World,Elif Shafak,ePUB,$15.99,$15.99,06-06-2019,Penguin Books Ltd,368,https://www.booktopia.com.au/10-minutes-38-seconds-in-this-strange-world-elif-shafak/ebook/9780241979457.html
9.78E+12,Midnight at the Blackbird Cafe,Heather Webber,ePUB,$19.5,$15.99,16-07-2019,Tor Publishing Group,,https://www.booktopia.com.au/midnight-at-the-blackbird-cafe-heather-webber/ebook/9781250198600.html
9.78E+12,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,ePUB,$15.99,$15.99,07-08-2018,Ebury Publishing,304,https://www.booktopia.com.au/the-2020-commission-report-on-the-north-korean-nuclear-attacks-against-the-united-states-dr-jeffrey-lewis/ebook/9780753553176.html
9.78E+12,The Scottish Clearances,T. M. Devine,ePUB,$15.99,$15.99,04-10-2018,Penguin Books Ltd,400,https://www.booktopia.com.au/the-scottish-clearances-t-m-devine/ebook/9780141985947.html
9.78E+12,Ask and It Is Given,Esther Hicks; Jerry Hicks; Dr. Wayne W. Dyer,ePUB,$18.34,$14.99,01-10-2004,Hay House,314,https://www.booktopia.com.au/ask-and-it-is-given-esther-hicks/ebook/9781401919276.html
9.78E+12,No One Is Too Small to Make a Difference,Greta Thunberg,ePUB,$14.99,$14.99,30-05-2019,Penguin Books Ltd,80,https://www.booktopia.com.au/no-one-is-too-small-to-make-a-difference-greta-thunberg/ebook/9780141991757.html
9.78E+12,Gypsy,Lesley Pearse,ePUB,$15.99,$15.99,14-07-2008,Penguin Books Ltd,544,https://www.booktopia.com.au/gypsy-lesley-pearse/ebook/9780141910338.html
9.78E+12,The Polyvagal Theory in Therapy,Deb Dana,ePUB,$51.34,$41.99,12-06-2018,W. W. Norton & Company,,https://www.booktopia.com.au/the-polyvagal-theory-in-therapy-deb-dana/ebook/9780393712384.html
9.78E+12,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,ePUB,$19.99,$19.99,02-07-2008,Workman Publishing Company,203,https://www.booktopia.com.au/how-to-make-people-like-you-in-90-seconds-or-less-nicholas-boothman/ebook/9780761148425.html
9.78E+12,The Gutter Prayer,Gareth Hanrahan,ePUB,$12.99,$12.99,15-01-2019,"Little, Brown Book Group",544,https://www.booktopia.com.au/the-gutter-prayer-gareth-hanrahan/ebook/9780356511511.html
9.78E+12,Astrology for the Soul,Jan Spiller,ePUB,$17.14,$13.99,04-11-2009,Random House Publishing Group,,https://www.booktopia.com.au/astrology-for-the-soul-jan-spiller/ebook/9780307426758.html
9.78E+12,The Closed Circle,Jonathan Coe,ePUB,$15.99,$15.99,19-05-2008,Penguin Books Ltd,448,https://www.booktopia.com.au/the-closed-circle-jonathan-coe/ebook/9780141904160.html
9.78E+12,Where Good Ideas Come From,Steven Johnson,ePUB,$15.99,$15.99,07-10-2010,Penguin Books Ltd,336,https://www.booktopia.com.au/where-good-ideas-come-from-steven-johnson/ebook/9780141964591.html
